group,name,value
PoliticalDiscussion,kltycv,24.0
PoliticalDiscussion,ejkcjo,10.0
PoliticalDiscussion,ij28mr,23.0
PoliticalDiscussion,ncfmd0,21.0
PoliticalDiscussion,exiwot,25.0
PoliticalDiscussion,f3s4w7,13.0
PoliticalDiscussion,j6sa42,13.0
PoliticalDiscussion,lpmq0o,17.0
PoliticalDiscussion,edatox,20.0
PoliticalDiscussion,kvj3wv,9.0
PoliticalDiscussion,dgabx2,12.0
PoliticalDiscussion,mfoqia,11.0
PoliticalDiscussion,j803jt,9.0
PoliticalDiscussion,kf0hyj,17.0
PoliticalDiscussion,jmnwv4,11.0
PoliticalDiscussion,ko79j2,9.0
PoliticalDiscussion,jzpvci,16.0
PoliticalDiscussion,e9b3ed,20.0
PoliticalDiscussion,ksp8g9,14.0
PoliticalDiscussion,mq2jbt,19.0
PoliticalDiscussion,ehuwmw,12.0
PoliticalDiscussion,ksfy5u,16.0
PoliticalDiscussion,eo4t7i,11.0
PoliticalDiscussion,jru8be,12.0
PoliticalDiscussion,j86ycc,8.0
PoliticalDiscussion,lji86e,17.0
PoliticalDiscussion,daqxpb,23.0
PoliticalDiscussion,mkn18o,11.0
PoliticalDiscussion,hqpsya,16.0
PoliticalDiscussion,kukukv,16.0
PoliticalDiscussion,jq2oul,15.0
PoliticalDiscussion,msc8lv,26.0
PoliticalDiscussion,km35i7,14.0
PoliticalDiscussion,l5gblr,10.0
PoliticalDiscussion,je8ggl,12.0
PoliticalDiscussion,gl652h,10.0
PoliticalDiscussion,lxdoni,19.0
PoliticalDiscussion,j86b33,12.0
PoliticalDiscussion,kmw72l,17.0
PoliticalDiscussion,ko78xc,10.0
PoliticalDiscussion,krk13t,13.0
PoliticalDiscussion,jp9mlz,12.0
PoliticalDiscussion,njvt5x,15.0
PoliticalDiscussion,k9jchq,10.0
PoliticalDiscussion,o0vrbh,11.0
PoliticalDiscussion,g5wy5d,16.0
PoliticalDiscussion,cboqsl,13.0
PoliticalDiscussion,k21si7,12.0
PoliticalDiscussion,ju2ofk,22.0
PoliticalDiscussion,kjkmrk,10.0
PoliticalDiscussion,jo3bcy,19.0
PoliticalDiscussion,eox1r5,20.0
PoliticalDiscussion,ny41as,16.0
PoliticalDiscussion,jbom27,13.0
PoliticalDiscussion,lkut43,24.0
PoliticalDiscussion,mgnmgn,11.0
PoliticalDiscussion,evd6a7,15.0
PoliticalDiscussion,f1sdgd,12.0
PoliticalDiscussion,o7ilhg,11.0
PoliticalDiscussion,j6d40z,25.0
PoliticalDiscussion,mu3ggi,12.0
PoliticalDiscussion,euahol,12.0
PoliticalDiscussion,j5pon9,21.0
PoliticalDiscussion,hgbcbf,18.0
PoliticalDiscussion,lbdwmx,13.0
PoliticalDiscussion,l0qtbl,26.0
PoliticalDiscussion,j2n2ys,10.0
PoliticalDiscussion,e015th,13.0
PoliticalDiscussion,lbs93g,12.0
PoliticalDiscussion,lzr2eb,13.0
PoliticalDiscussion,hvu6uy,18.0
PoliticalDiscussion,g6un3i,12.0
PoliticalDiscussion,o8oov9,11.0
PoliticalDiscussion,k5205z,17.0
PoliticalDiscussion,i5tmp5,11.0
PoliticalDiscussion,jbp8dm,13.0
PoliticalDiscussion,n3yej9,12.0
PoliticalDiscussion,cj3hlz,24.0
PoliticalDiscussion,kpo2br,16.0
PoliticalDiscussion,nb4hny,11.0
PoliticalDiscussion,k8qo9l,9.0
PoliticalDiscussion,k78k63,17.0
PoliticalDiscussion,jobcko,5.0
PoliticalDiscussion,jb9duv,11.0
PoliticalDiscussion,kyygfd,13.0
PoliticalDiscussion,jb301t,23.0
PoliticalDiscussion,o8xgov,17.0
PoliticalDiscussion,jsyr5l,11.0
PoliticalDiscussion,jqnpuh,13.0
